OID_,TARGET_FID,StationCode,SampleDate,CollectionDepth,FIRST_TargetLatitude,FIRST_TargetLongitude,FIRST_StationName,FIRST_CollectionMethodName,HUC10,HUC12,RASTERVALU
33,161,544XGLCCR,4/13/2010 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
34,222,544XGLCAA,5/11/2010 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
35,223,544XGLCCR,5/11/2010 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
36,271,544XGLCAA,6/8/2010 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
37,313,544XGLCAA,7/13/2010 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
38,314,544XGLCCR,7/13/2010 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
39,337,544XGLCAA,8/10/2010 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
40,338,544XGLCCR,8/10/2010 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
41,365,544XGLCAA,9/7/2010 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
42,366,544XGLCAA,9/7/2010 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
43,367,544XGLCCR,9/7/2010 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
44,430,544XGLCAA,1/11/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
45,431,544XGLCCR,1/11/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
46,447,544XGLCAA,2/8/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
47,448,544XGLCCR,2/8/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
48,472,544XGLCAA,3/8/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
49,473,544XGLCAA,3/8/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
50,474,544XGLCCR,3/8/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
51,475,544XGLCCR,3/8/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
52,531,544XGLCCR,4/12/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
53,668,544XGLCAA,5/24/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
54,669,544XGLCCR,5/24/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
55,747,544XGLCAA,6/28/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
56,769,544SJC505,7/25/2011 0:00:00,0.000000000000000,37.774166000000001,-121.382225000000005,Tom Paine Slough at Paradise Road,Field Method,1804000306.000000000000000,180400030601.000000000000000,1
57,770,544SJC506,7/25/2011 0:00:00,0.000000000000000,37.804721999999998,-121.449447599999999,Old River at Tracy Blvd.,Field Method,1804000306.000000000000000,180400030605.000000000000000,1
58,774,544XGLCAA,7/26/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
59,775,544XGLCCR,7/26/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
60,815,544XGLCAA,8/23/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
61,816,544XGLCCR,8/23/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
62,844,544XGLCAA,9/20/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
63,845,544XGLCCR,9/20/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
64,869,544XGLCAA,10/14/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
65,870,544XGLCAA,10/14/2011 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
66,871,544XGLCCR,10/14/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
67,872,544XGLCCR,10/14/2011 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
68,922,544XGLCAA,1/17/2012 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
69,923,544XGLCCR,1/17/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
70,941,544XGLCAA,2/14/2012 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
71,942,544XGLCCR,2/14/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
72,973,544XGLCAA,3/15/2012 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
73,974,544XGLCAA,3/15/2012 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
74,975,544XGLCCR,3/15/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
75,976,544XGLCCR,3/15/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
76,1035,544XGLCCR,4/12/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
77,1148,544XGLCAA,5/16/2012 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
78,1149,544XGLCCR,5/16/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
79,1243,544XGLCCR,7/17/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
80,1266,544XGLCCR,8/21/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
81,1295,544XGLCAA,9/18/2012 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
82,1296,544XGLCAA,9/18/2012 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
83,1297,544XGLCCR,9/18/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
84,1298,544XGLCCR,9/18/2012 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
85,1381,544XGLCAA,1/15/2013 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
86,1382,544XGLCCR,1/15/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Water_Grab,1804000309.000000000000000,180400030901.000000000000000,0
87,1422,544XGLCAA,2/21/2013 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
88,1423,544XGLCCR,2/21/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
89,1441,544XGLCAA,3/19/2013 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
90,1442,544XGLCAA,3/19/2013 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
91,1443,544XGLCCR,3/19/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
92,1444,544XGLCCR,3/19/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
93,1473,544XGLCCR,4/2/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
94,1523,544XGLCAA,5/21/2013 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
95,1524,544XGLCCR,5/21/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
96,1575,544XGLCCR,7/16/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
97,1599,544XGLCCR,8/20/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
98,1625,544DRAWLR,9/17/2013 0:00:00,0.000000000000000,37.856589999999997,-121.377998399999996,Drain @ Wing Levee Rd,Water_Grab,1804000309.000000000000000,180400030901.000000000000000,1
99,1632,544SJC506,9/17/2013 0:00:00,0.000000000000000,37.804721999999998,-121.449447599999999,Old River at Tracy Blvd.,Water_Grab,1804000306.000000000000000,180400030605.000000000000000,1
100,1633,544ST0525,9/17/2013 0:00:00,0.000000000000000,37.819800999999998,-121.499198899999996,Grant Line Canal-544ST0525,Water_Grab,1804000306.000000000000000,180400030605.000000000000000,1
101,1636,544XGLCAA,9/17/2013 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
102,1637,544XGLCAA,9/17/2013 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
103,1638,544XGLCCR,9/17/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
104,1639,544XGLCCR,9/17/2013 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
105,1644,San Joaquin 100,9/17/2013 0:00:00,0.000000000000000,37.818500999999998,-121.482246399999994,Ag Drain on Grimes Rd. (DPR Ag monitoring site),Water_Grab,1804000306.000000000000000,180400030605.000000000000000,0
106,1700,544XGLCAA,1/28/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
107,1701,544XGLCCR,1/28/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
108,1724,544XGLCAA,2/11/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
109,1725,544XGLCCR,2/11/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
110,1732,10-300,2/28/2014 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Field Method,1804000306.000000000000000,180400030601.000000000000000,9
111,1733,10-300,2/28/2014 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Water_Grab,1804000306.000000000000000,180400030601.000000000000000,9
112,1738,544XGLCAA,3/3/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
113,1739,544XGLCCR,3/3/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
114,1751,544XGLCAA,3/5/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
115,1752,544XGLCAA,3/5/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
116,1753,544XGLCCR,3/5/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
117,1754,544XGLCCR,3/5/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
118,1766,10-300,3/26/2014 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Field Method,1804000306.000000000000000,180400030601.000000000000000,9
119,1767,10-300,3/26/2014 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Water_Grab,1804000306.000000000000000,180400030601.000000000000000,9
120,1785,544XGLCCR,4/15/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
121,1806,544XGLCAA,5/20/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
122,1807,544XGLCCR,5/20/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
123,1846,544XGLCCR,7/15/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
124,1873,544XGLCCR,8/19/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
125,1890,544XGLCAA,9/16/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
126,1891,544XGLCAA,9/16/2014 0:00:00,0.000000000000000,37.841819999999998,-121.529991100000004,Grant Line Canal @ Clifton Court Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
127,1892,544XGLCCR,9/16/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
128,1893,544XGLCCR,9/16/2014 0:00:00,0.000000000000000,37.820838999999999,-121.500091600000005,Grant Line Canal near Calpack Rd,Sediment_Grab,1804000309.000000000000000,180400030901.000000000000000,0
129,1927,10-300,12/11/2014 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Water_Grab,1804000306.000000000000000,180400030601.000000000000000,9
130,1931,544UPRRID,12/19/2014 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
131,1940,544UPRRID,1/20/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
132,1943,10-300,2/6/2015 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Water_Grab,1804000306.000000000000000,180400030601.000000000000000,9
133,1944,10-300,2/7/2015 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Auto sampler automatically triggered,1804000306.000000000000000,180400030601.000000000000000,9
134,1960,544UPRRID,2/9/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
135,1979,544UPRRID,3/17/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
136,1980,544UPRRID,3/17/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Sediment_Grab,1804000305.000000000000000,180400030502.000000000000000,4
137,1996,10-300,4/7/2015 0:00:00,0.000000000000000,37.747287999999998,-121.343986500000000,209-6T,Field Method,1804000306.000000000000000,180400030601.000000000000000,9
138,2025,544UPRRID,4/21/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
139,2057,544UPRRID,5/19/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
140,2135,544UPRRID,8/18/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
141,2177,544UPRRID,9/15/2015 0:00:00,0.000000000000000,37.818931999999997,-121.358299299999999,Upper Roberts Island Drain,Field Method,1804000305.000000000000000,180400030502.000000000000000,4
