,Program,Project,Projectcode,Parentproject,StationName,StationCode,Datum,GeometryShape,SampleDate,CollectionTime,SamplingAgency,ProtocolCode,LocationCode,HydroModLoc,Hydromod,CollectionReplicate,CollectionMethodName,SampleType,PersonnelCode,SampleComments,BACollectionComments,CollectionDeviceName,LabSampleID,FinalID,Phylum,Class,Orders,Family,Genus,Species,LifeStageName,DistinctOrganism,Counts,BAResult,Unit,TaxonomicQualifier,ExcludedTaxa,Comments,SieveSize,SieveSizeUnit,CollectionDepth,UnitCollectionDepth,GrabSize,UnitGrabSize,ResQualCode,ComplianceCode,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID,geometry,Subregion,
11,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Rhabdocoela,Platyhelminthes,Rhabditophora,Rhabdocoela,NA,NA,NA,Adult,0,NA,1,count,NA,NA,damaged,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
12,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Thalassodrilides,NA,NA,NA,NA,NA,NA,Adult,0,NA,75,count,NA,NA,"posterior - Acute angle teeth on chaetae - bottom tooth broader and longer than upper - the chatae are single and rarely present; up to about 1 cm, chaetae in anterior segments in bundles, tan in alcohol; penial setae paired, longer stems, bifid, [?Thalas",0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
13,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Thalassodrilides,NA,NA,NA,NA,NA,NA,Adult,0,NA,35,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
14,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Tubificoides,Annelida,Clitellata,Haplotaxida,Tubificidae,Tubificoides,NA,Adult,-1,NA,2,count,NA,NA,Question: Immature,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
15,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Qualitative,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Nematoda,Nematoda,NA,NA,NA,NA,NA,Adult,0,NA,NA,count,NA,NA,present but not counted; often pass through 0.5 mm sieve so we don't quantify these,0.5 mm,0,10,cm,0.05,m2,P,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
16,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Americorophium spinicorne,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Adult,-1,NA,72,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
17,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Americorophium spinicorne,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Adult,-1,NA,123,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
18,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Bougainvillia,NA,NA,NA,NA,NA,NA,Adult,0,NA,NA,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
19,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Corbicula fluminea,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,Corbicula fluminea,Adult,0,NA,37,count,NA,NA,21 smaller ones to reference collection -verified by HP,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
20,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Corbicula fluminea,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,Corbicula fluminea,Adult,0,NA,18,count,NA,NA,1 small smashed specimen,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
21,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Gammarus daiberi,Arthropoda,Malacostraca,NA,NA,NA,NA,Adult,-1,NA,159,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
22,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Gammarus daiberi,Arthropoda,Malacostraca,NA,NA,NA,NA,Adult,-1,NA,119,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
23,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Limnodrilus,Annelida,Oligochaeta,Tubificida,Tubificidae,Limnodrilus,NA,Adult,0,NA,5,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
24,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Limnodrilus,Annelida,Oligochaeta,Tubificida,Tubificidae,Limnodrilus,NA,Adult,0,NA,45,count,NA,NA,"worms up to 1.5 cm, secondary annuli bands, 4-5 ventrals in lines on anterior segments, these have thicker upper tooth - weakly-recurved: type E, Fig. 13.21 Pennak 2001, 4th edn, p. 294, cf hoffmeisteri,some clitellar thickening - has the appearance of a",1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
25,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Turbonilla,Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,NA,Adult,0,NA,5,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
26,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Turbonilla,Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,NA,Adult,0,NA,10,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
27,SF Bay Regional Monitoring for Water Quality,2011 RMP Status and Trends,11RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,8/30/2011,1899-12-31 06:40:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Qualitative,0,NA,NA,CCSF Ponar (0.05m2),1108226679,Nematoda,Nematoda,NA,NA,NA,NA,NA,Adult,0,NA,NA,count,NA,NA,"present, meiofauna, too small to be sampled quantitatively with these sieve sizes",1 mm,0,10,cm,0.05,m2,P,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
28,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Americorophium spinicorne,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Adult,-88,NA,344,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
29,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Americorophium spinicorne,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Adult,-88,NA,219,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
30,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Bathydrilus litoreus,NA,NA,NA,NA,NA,NA,Adult,-88,NA,8,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
31,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Bathydrilus litoreus,NA,NA,NA,NA,NA,NA,Adult,-88,NA,2,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
32,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Corbicula fluminea,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,Corbicula fluminea,Adult,-88,NA,1,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
33,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Corbicula fluminea,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,Corbicula fluminea,Adult,-88,NA,27,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
34,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Gammarus daiberi,Arthropoda,Malacostraca,NA,NA,NA,NA,Adult,-88,NA,115,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
35,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Gammarus daiberi,Arthropoda,Malacostraca,NA,NA,NA,NA,Adult,-88,NA,71,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
36,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Hediste limnicola,NA,NA,NA,NA,NA,NA,Adult,-88,NA,3,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
37,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Marenzelleria viridis,Annelida,Polychaeta,NA,NA,NA,NA,Adult,-88,NA,2,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
38,SF Bay Regional Monitoring for Water Quality,2012 RMP Status and Trends,12RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,4/24/2012,1899-12-31 11:27:00,San Francisco Estuary Institute,RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),NA,Marenzelleria viridis,Annelida,Polychaeta,NA,NA,NA,NA,Adult,-88,NA,1,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
